objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
MATERIALIZED VIEW,OBK_PE,NR_SEQU_DOCT_INDEX_INDEX,,,,,,
TABLE,OBK_PE,PEDT150_DOC,108,1,9,37,,5
TABLE,OBK_PE,PEDT_PF_QUALIFICATION_V2,25,1,40,160,,1
TABLE,OBK_PE,PEDT005_REVENUE,137,1,7,29,,7
TABLE,OBK_PE,PEDT_LAST_UPDATE_RELATIONSHIP,58,1,17,68,,3
TABLE,OBK_PE,PEDT007_PARTIES,137,1,7,29,,7
TABLE,OBK_PE,PEDT002_FILIATION,133,1,7,30,,6
TABLE,OBK_PE,PEDT_PJ_IDENTIFICATION,25,1,40,160,,1
TABLE,OBK_PE,PEDT205_PATRIMONY,87,1,11,45,,5
TABLE,OBK_PE,PEDT003_ADDRESSES,333.125,1,3,12,,15
TABLE,OBK_PE,PEDT003_EMAILS,83.125,1,12,48,,5
TABLE,OBK_PE,PEDT_PF_IDENTIFICATION_V2,25,1,40,160,,1
INDEX,ID_IDENTIFICATION,null,,,,,,
MATERIALIZED VIEW,OBK_PE,ID_IDENTIFICATION_INDEX,,,,,,
TABLE,OBK_PE,PEDT_PJ_QUALIFICATION,25,1,40,160,,1
TABLE,OBK_PE,PEDT_OBK_DE_PARA,100,1,10,40,,4
TABLE,OBK_PE,VALID_INCOMES,25,1,40,160,,1
TABLE,OBK_PE,PEDT_PF_QUALIFICATION,25,1,40,160,,1
TABLE,OBK_PE,PEDT150_PASSPORT,116,1,8,34,,7
TABLE,OBK_PE,PEDT002_OCCUPATION,108,1,9,37,,5
TABLE,OBK_PE,PEDT_PJ_RELATIONSHIP,25,1,40,160,,1
TABLE,OBK_PE,PEDT001_NAME,287,1,3,13,,13
TABLE,OBK_PE,PEDT_PJ_IDENTIFICATION_V2,25,1,40,160,,1
TABLE,OBK_PE,PEDT_PF_IDENTIFICATION,25,1,40,160,,1
