table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
DW8CAS002.TBDW8083_FNAL_CSTM_PRCT_VIEW,DW8CAS002,TBDW8083_FNAL_CSTM_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8PFM001.TBDW8051_LANC_CONT_CORE,DW8PFM001,TBDW8051_LANC_CONT_CORE,100,127567,200,127567,2,4,3
DW8PFM001.TBDW8052_SALD_HIST,DW8PFM001,TBDW8052_SALD_HIST,100,54873,100,54873,1,8,2
DW8PFM002.TBDW8048_TOTZ_BATE_INGO_AGEN,DW8PFM002,TBDW8048_TOTZ_BATE_INGO_AGEN,1,364,1,364,1,11,1
DW8PFM002.TBDW8049_DAT_MOVI_AGEN,DW8PFM002,TBDW8049_DAT_MOVI_AGEN,100,27400,100,27400,1,15,1
DW8PFM002.TBDW8050_HIST_BATE_INGO_AGEN,DW8PFM002,TBDW8050_HIST_BATE_INGO_AGEN,100,48569,100,48569,1,9,2
DW8PFM002.TBDW8057_CNFG_APLI_PFM,DW8PFM002,TBDW8057_CNFG_APLI_PFM,100,21200,100,21200,1,19,1
DW8PFM002.TBDW8058_CTRL_BATE_RGTO,DW8PFM002,TBDW8058_CTRL_BATE_RGTO,100,26100,100,26100,1,16,1
DW8PFM002.TBDW8065_RFRC_PSST_GRUP_AGEN,DW8PFM002,TBDW8065_RFRC_PSST_GRUP_AGEN,100,29134,100,29134,1,14,1
DW8PFM002.TBDW8066_RFRC_STAT_ARQU,DW8PFM002,TBDW8066_RFRC_STAT_ARQU,100,27687,100,27687,1,15,1
DW8PFM002.TBDW8067_SMRO_ARQU_CONT_CORE,DW8PFM002,TBDW8067_SMRO_ARQU_CONT_CORE,1,412,1,412,1,10,1
DY5CAS001.TBDY5027_DIVI,DY5CAS001,TBDY5027_DIVI,100,109101,200,109101,2,4,3
DY5CAS001.TBDY5033_EVEN_DIVI,DY5CAS001,TBDY5033_EVEN_DIVI,100,43400,100,43400,1,10,1
DY5CAS001.TBDY5071_APEL_PROD_CCSN,DY5CAS001,TBDY5071_APEL_PROD_CCSN,100,29900,100,29900,1,14,1
DY5CAS002.TBDY5328_CSLT_EVEN_DEBT_CLIE,DY5CAS002,TBDY5328_CSLT_EVEN_DEBT_CLIE,100,174637,200,174637,2,3,4
DY5CAS002.TBDY5329_CSLT_EVEN_DEBT_CONT,DY5CAS002,TBDY5329_CSLT_EVEN_DEBT_CONT,100,174614,200,174614,2,3,4
